run_id,binary_sha256,variant,backend,access,workload,parallelism,lanes,records,seed,repeat,warmup_requested,seconds_requested,valid,exit_code,error,setup_seconds,warmup_ops,operations,seconds,ops_per_second,p50_ns,p99_ns,errors,handoffs,rocksdb_granted,rocksdb_diverted,peak_rss_bytes,peak_threads_sampled,cpu_user_seconds,cpu_system_seconds,wall_seconds
tokio-memory-sdk-mixed-p4-c16-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,mixed,4,16,100000,20260917,4,3,10,True,0,,2.161258792,347981,1162502,10.000189208,116248.00049483223,95615,547327,0,0,0,0,1351352320,16,53.541269,0.44942499999999996,15.192015042000094
goexec-memory-sdk-mixed-p4-c16-r4-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,mixed,4,16,100000,20260917,4,3,10,True,0,,2.22254225,343860,1143648,10.000247667,114361.96763145627,67903,585727,0,0,0,0,1338114048,19,53.964777,0.550383,15.25809900000013
tokio-memory-sdk-range-p4-c16-r0-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,range,4,16,100000,20260917,0,3,10,True,0,,2.123495875,104058,351535,10.000415458,35152.039580394,464127,920575,0,0,0,0,447922176,16,53.611383,0.355031,15.161112624999987
goexec-memory-sdk-range-p4-c16-r0-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,range,4,16,100000,20260917,0,3,10,True,0,,2.1269365000000002,98345,329321,10.000460958,32930.582038476474,256383,2279423,0,0,0,0,447856640,19,53.79446,0.49073999999999995,15.171228541000119
goexec-memory-sdk-create-p4-c4-r4-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,create,4,4,100000,20260917,4,3,10,True,0,,2.230278709,257969,868835,10.000065416,86882.93164661434,42559,62015,0,0,0,0,4590059520,19,54.067292,1.664869,15.585159332999865
tokio-memory-sdk-create-p4-c4-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,create,4,4,100000,20260917,4,3,10,True,0,,2.17437725,262975,880747,10.000062792,88074.14696481638,41855,62431,0,0,0,0,4660428800,16,53.78698,0.9951479999999999,15.566640084000028
goexec-memory-sdk-mixed-p1-c1-r1-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,mixed,1,1,100000,20260917,1,3,10,True,0,,2.161408542,205962,689396,10.000021292,68939.45321411622,13879,20015,0,0,0,0,979664896,13,15.141918,1.864091,15.196155458000021
tokio-memory-sdk-mixed-p1-c1-r1-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,mixed,1,1,100000,20260917,1,3,10,True,0,,2.238820125,257343,854088,10.0000085,85408.7274025817,10751,25551,0,0,0,0,1108606976,10,14.934496,0.241107,15.274821875000043
tokio-memory-sdk-update-p1-c4-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,update,1,4,100000,20260917,4,3,10,True,0,,2.247961167,226096,751358,10.00005725,75135.36985000761,52927,105535,0,0,0,0,3373301760,10,15.159862,0.391061,15.300768541999787
goexec-memory-sdk-update-p1-c4-r4-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,update,1,4,100000,20260917,4,3,10,True,0,,2.171599166,224956,750896,10.000065042,75089.1116054003,52767,67135,0,0,0,0,3368402944,13,15.456224,0.497608,15.215028040999869
